field_name,job_role,required_languages,required_skills
Artificial Intelligence,Machine Learning Engineer,"Python, R, Java, Scala, C++","Supervised learning, Unsupervised learning, Model evaluation, Data preprocessing, Feature engineering, Statistics, Communication, Problem-solving, Collaboration, Critical thinking"
Artificial Intelligence,Applied Machine Learning Scientist,"Python, R, Julia, Scala, C++","Model deployment, Experimental design, Data wrangling, A/B testing, Causal inference, Feature selection, Communication, Critical thinking, Collaboration, Domain knowledge"
Artificial Intelligence,ML Research Scientist,"Python, R, Julia, C++, MATLAB","Theoretical modeling, Algorithm design, Literature review, Reproducibility, Statistical analysis, Optimization, Critical thinking, Research communication, Creativity, Collaboration"
Artificial Intelligence,Predictive Modeling Analyst,"Python, R, SQL, SAS, Julia","Data cleaning, Statistical modeling, Regression analysis, Data visualization, Feature engineering, Business acumen, Problem-solving, Communication, Attention to detail, Time management"
Artificial Intelligence,ML Algorithm Engineer,"Python, C++, Java, R, Scala","Algorithm optimization, Model implementation, Low-latency systems, Data structures, Machine learning theory, Performance tuning, Debugging, Problem-solving, Collaboration, Critical thinking"
Artificial Intelligence,ML Software Developer,"Python, Java, C++, JavaScript, Scala","Model integration, Software design, Unit testing, Deployment pipelines, Data handling, Code optimization, Problem-solving, Communication, Teamwork, Agile development"
Artificial Intelligence,AI/ML Solutions Architect,"Python, SQL, Java, Scala, C++, R, Julia, JavaScript, MATLAB, Go  ","Machine Learning Algorithms, Deep Learning, Cloud Architecture, Model Deployment, Scalability, System Design, Communication, Project Management, Stakeholder Management, Problem-Solving  "
Artificial Intelligence,Statistical Machine Learning Researcher,"R, Python, Julia, MATLAB, SAS, SQL, Java, C++, Scala, Stan  ","Statistical Modeling, Bayesian Methods, Hypothesis Testing, Data Analysis, Research, Academic Writing, Data Visualization, Optimization, Regression Analysis, Critical Thinking  "
Artificial Intelligence,Machine Learning Consultant,"Python, R, SQL, Java, Scala, Julia, JavaScript, MATLAB, C++, PHP  ","Client Communication, Requirements Gathering, Solution Design, Model Interpretability, Data Visualization, Presentation Skills, Business Acumen, Problem-Solving, Agile Methodology, Stakeholder Management  "
Artificial Intelligence,ML Model Validation Engineer,"Python, R, SQL, Java, C++, Scala, Julia, MATLAB, SAS, JavaScript","Model Validation, Risk Assessment, Statistical Analysis, Regulatory Compliance, Testing Methodologies, Debugging, Documentation, Attention to Detail, Problem-Solving, Collaboration  "
Artificial Intelligence,ML Product Manager,"Python, SQL, JavaScript, Java, Scala, R, Julia, C++, PHP, Swift","Product Roadmap Development, Agile Methodology, Stakeholder Management, Market Research, User Story Mapping, Prioritization, Data-Driven Decision Making, Communication, Cross-Functional Collaboration, Strategic Planning"
Artificial Intelligence,Deep Learning Engineer,"Python, C++, Java, R, Julia","Neural network design, Backpropagation, Model tuning, GPU acceleration, Data preprocessing, Deep learning theory, Problem-solving, Collaboration, Communication, Critical thinking"
Artificial Intelligence,Neural Network Architect,"Python, C++, Scala, R, MATLAB","Model architecture design, Hyperparameter tuning, Optimization techniques, Transfer learning, Reinforcement learning, Modular design, Creativity, Analytical thinking, Research skills, Communication"
Artificial Intelligence,Deep Learning Research Scientist,"Python, Julia, R, C++, MATLAB","Novel architecture development, Research methodologies, Experimental design, Theoretical understanding, Paper writing, Algorithm innovation, Critical thinking, Curiosity, Communication, Collaboration"
Artificial Intelligence,Computer Vision DL Engineer,"Python, C++, Java, MATLAB, R","Image processing, Object detection, CNNs, Feature extraction, Data augmentation, Computer vision theory, Debugging, Problem-solving, Attention to detail, Teamwork"
Artificial Intelligence,NLP Deep Learning Specialist,"Python, R, Julia, Java, Scala","Language modeling, Sequence modeling, Transformer architectures, Tokenization, Sentiment analysis, Text preprocessing, Semantic understanding, Communication, Analytical thinking, Research"
Artificial Intelligence,Deep Learning Optimization Engineer,"Python, C++, Julia, R, Scala","Model quantization, Pruning, Graph optimization, Hardware acceleration, Low-latency inference, Profiling, Code optimization, Performance analysis, Problem-solving, Efficiency-focused design"
Artificial Intelligence,Deep Learning Infrastructure Engineer,"Python, C++, Bash, Go, Java","Distributed training, Scalability, CI/CD pipelines, GPU orchestration, Cloud infrastructure, Model serving, System design, Automation, Debugging, Collaboration"
Artificial Intelligence,Applied Deep Learning Scientist,"Python, R, Julia, C++, Scala","Applied modeling, Experimentation, Data analysis, Transfer learning, Real-world deployment, Feature extraction, Communication, Critical thinking, Business understanding, Problem-solving"
Artificial Intelligence,Deep Learning Algorithm Developer,"Python, C++, R, Julia, MATLAB","Algorithm design, Network optimization, Mathematical modeling, Gradient descent variants, Custom loss functions, Performance tuning, Research thinking, Code efficiency, Debugging, Creativity"
Artificial Intelligence,DL Model Compression Engineer,"Python, C++, R, Julia, Java","Model pruning, Quantization, Knowledge distillation, Compression techniques, Edge deployment, Memory optimization, Performance benchmarking, Efficient architecture design, Problem-solving, Analytical thinking"
Artificial Intelligence,NLP Engineer,"Python, Java, C++, R, Scala","Natural Language Processing, Machine Learning, Deep Learning, Text Preprocessing, Named Entity Recognition, Sentiment Analysis, Data Cleaning, Attention Mechanisms, Communication, Problem Solving"
Artificial Intelligence,Computational Linguist,"Python, R, Java, Perl, C++","Linguistic Analysis, Syntax, Corpus Annotation, Phonetics, Morphology, Statistical Analysis, Data Visualization, Attention to Detail"
Artificial Intelligence,NLP Research Scientist,"Python, C++, Java, Julia, MATLAB","Research Design, Deep Learning, Algorithm Development, Model Evaluation, Statistical Modeling, Experimentation, Scientific Writing, Critical Thinking"
Artificial Intelligence,Conversational AI Developer,"Python, JavaScript, Java, C#","Dialogue Management, Intent Recognition, Context Handling, API Integration, NLP, UX Design, Debugging, Communication"
Artificial Intelligence,Text Mining Specialist,"Python, R, SQL, Java","Text Preprocessing, Tokenization, Topic Modeling, Clustering, Feature Extraction, Data Cleaning, Statistical Analysis, Visualization"
Artificial Intelligence,Information Retrieval Engineer,"Java, Python, C++, Scala, Go","Indexing, Query Optimization, Ranking Algorithms, Relevance Feedback, Scalability, Distributed Systems, Performance Tuning, Data Structures"
Artificial Intelligence,Sentiment Analysis Engineer,"Python, R, Java, Scala","Opinion Mining, Lexicon Development, Model Training, Feature Engineering, Classification, Data Annotation, Evaluation Metrics, Communication"
Artificial Intelligence,Machine Translation Engineer,"Python, C++, Java, Rust, Lua","Sequence-to-Sequence Modeling, Attention Mechanisms, Subword Segmentation, Parallel Corpus Management, Domain Adaptation, BLEU/METEOR Evaluation, Data Preprocessing, Statistical Analysis, Problem Solving, Communication"
Artificial Intelligence,Chatbot/NLU Developer,"Python, JavaScript, Java, C#","Intent Classification, Entity Recognition, Dialogue Management, Context Handling, UX Design, API Integration, Testing, Debugging, Communication"
Artificial Intelligence,Speech-to-Text NLP Engineer,"Python, C++, Java, Julia","Acoustic Modeling, Feature Extraction (MFCC/FBANK), Signal Processing, Language Modeling, Noise Reduction, CTC/RNN-T Architectures, Evaluation (WER), Optimization, Attention to Detail"
Artificial Intelligence,Question Answering System Developer,"Python, Java, C++, JavaScript","Information Retrieval, Reading Comprehension Models, Query Understanding, Passage Ranking, Knowledge Graphs, Context Modeling, API Integration, Evaluation Metrics (EM/F1), Critical Thinking"
Artificial Intelligence,Named Entity Recognition (NER) Specialist,"Python, Java, R, C++","Sequence Labeling, Feature Engineering, CRFs, BiLSTM/Transformer Models, Annotation Guidelines, Data Preprocessing, Evaluation Metrics (Precision/Recall/F1), Attention to Detail, Communication"
Artificial Intelligence,Computer Vision Engineer,"Python, C++, Java, CUDA, MATLAB","Image Classification, Object Detection, Feature Extraction, GPU Programming, Model Deployment, Data Augmentation, Algorithm Optimization, Performance Tuning, Collaboration"
Artificial Intelligence,Image Processing Specialist,"Python, C++, MATLAB, Java, JavaScript","Filtering, Edge Detection, Segmentation, Morphological Operations, Color Space Conversion, Fourier Analysis, Noise Reduction, Image Enhancement, Feature Extraction, Attention to Detail"
Artificial Intelligence,CV Research Scientist,"Python, C++, MATLAB, Julia, R","Research Design, Algorithm Development, Deep Learning, Model Evaluation, Statistical Analysis, Experimentation, Scientific Writing, Critical Thinking, Presentation, Collaboration"
Artificial Intelligence,3D Vision Engineer,"C++, Python, MATLAB, CUDA, Rust","3D Reconstruction, SLAM, Depth Estimation, Point Cloud Processing, Calibration, Surface Reconstruction, Sensor Fusion, Optimization, Spatial Reasoning, Problem Solving"
Artificial Intelligence,Video Analytics Engineer,"Python, C++, Java, JavaScript, MATLAB","Motion Detection, Object Tracking, Event Detection, Real-time Processing, Streaming Architectures, Performance Tuning, Algorithm Optimization, Data Handling, Communication, Scalability"
Artificial Intelligence,Object Detection/Tracking Engineer,"Python, C++, Java, MATLAB","Bounding Box Regression, Feature Extraction, Tracking Algorithms, Kalman Filters, Data Association, Model Training, Evaluation Metrics, Performance Optimization"
Artificial Intelligence,Autonomous Perception Engineer,"C++, Python, CUDA","Sensor Fusion, Lidar Processing, Camera Calibration, Environment Perception, Real-time Systems, Embedded Systems, SLAM, Algorithm Integration, Data Annotation"
Artificial Intelligence,Medical Image Analysis Scientist,"Python, C++, MATLAB, R, Java","Segmentation, Registration, Feature Extraction, Deep Learning, Quantitative Analysis, Statistical Modeling, Data Annotation, Model Validation, Domain Knowledge (Radiology), Communication"
Artificial Intelligence,Augmented Reality Vision Developer,"C++, C#, Python, Java, Swift","Real-time Rendering, Pose Estimation, SLAM, 3D Modeling, Shader Programming, Computer Vision, UX Design, Calibration, Performance Optimization, Collaboration"
Artificial Intelligence,Scene Understanding Specialist,"Python, C++, MATLAB, Java, Rust","Semantic Segmentation, Instance Segmentation, Depth Estimation, 3D Reconstruction, Context Modeling, Feature Extraction, Data Annotation, Model Evaluation, Problem Solving, Communication"
Artificial Intelligence,Remote Sensing Image Analyst,"Python, R, C++, MATLAB, Java","Multispectral Analysis, Classification, Change Detection, Radiometric Correction, Image Preprocessing, Feature Extraction, GIS Analysis, Geospatial Analysis, Data Interpretation, Attention to Detail"
Artificial Intelligence,OCR (Optical Character Recognition) Engineer,"Python, C++, Java, JavaScript, R","Text Segmentation, Character Recognition, Layout Analysis, Preprocessing, Feature Extraction, Model Training, Error Correction, Post-Processing, Quality Assessment, Communication"
Artificial Intelligence,Reinforcement Learning Engineer,"Python, C++, Java, Julia","Markov Decision Processes, Q-learning, policy gradients, exploration vs exploitation, reward engineering, model-based RL, deep learning, optimization, problem-solving, collaboration"
Artificial Intelligence,RL Research Scientist,"Python, C++, Julia, MATLAB, R","Literature review, algorithm development, theoretical analysis, MDPs, statistical modeling, optimization, scientific writing, experiment design, data analysis, collaboration"
Artificial Intelligence,RL for Robotics Engineer,"C++, Python, MATLAB, Java","Control theory, kinematics, dynamics modeling, simulation, sensor integration, real-time systems, calibration, reinforcement learning, problem-solving, teamwork"
Artificial Intelligence,Multi-Agent RL Developer,"Python, C++, Julia, Java","Game theory, agent communication, decentralized learning, coordination, MDPs, algorithm design, simulation, scalability, debugging, collaboration"
Artificial Intelligence,Deep RL Specialist,"Python, C++, CUDA, Julia","Neural networks, CNNs, RNNs, backpropagation, hyperparameter tuning, DL architectures, gradient methods, MDPs, experimentation, problem-solving"
Artificial Intelligence,Game AI / RL Engineer,"C#, C++, Python, Lua","Game development, environment design, state representation, reward shaping, real-time performance, debugging, algorithm implementation, creativity, teamwork, optimization"
Artificial Intelligence,RL Algorithm Researcher,"Python, C++, Julia, MATLAB","Theoretical analysis, convergence proofs, algorithm design, statistical modeling, optimization, MDPs, experiment design, scientific writing, critical thinking, collaboration"
Artificial Intelligence,Applied RL Scientist,"Python, C++, R, Julia","Problem framing, data analysis, model deployment, hyperparameter tuning, MDPs, experimentation, project management, cross-functional communication, debugging, domain adaptation"
Artificial Intelligence,RL Simulation Developer,"Python, C++, MATLAB, Julia","Simulation design, physics modeling, numerical methods, performance optimization, RL integration, validation, debugging, problem-solving, collaboration"
Artificial Intelligence,Autonomous Control Systems Engineer,"C, C++, Python, MATLAB","Control theory, state estimation, sensor fusion, real-time systems, stability analysis, system identification, reinforcement learning, debugging, teamwork, project management"
Artificial Intelligence,RL Infrastructure Engineer,"Python, Go, Java, Bash","Distributed systems, cloud computing, containerization, orchestration, scaling, CI/CD, monitoring, automation, scripting, collaboration"
Artificial Intelligence,RL for Finance Quantitative Analyst,"Python, C++, R, MATLAB, SQL","Time series analysis, statistical modeling, risk management, portfolio optimization, algorithmic trading, backtesting, reinforcement learning, data analysis, attention to detail, communication"
Artificial Intelligence,Explainable AI Researcher,"Python, R, Julia, MATLAB","Literature review, algorithm development, statistical analysis, causal inference, theoretical modeling, experiment design, scientific writing, collaboration, critical thinking"
Artificial Intelligence,XAI Framework Developer,"Python, Java, JavaScript, C++","API design, software engineering, library integration, performance optimization, testing, documentation, version control, teamwork, problem-solving"
Artificial Intelligence,Model Interpretability Specialist,"Python, R, SQL, Julia","Feature importance, sensitivity analysis, surrogate modeling, visualization, statistical modeling, communication, domain knowledge, critical evaluation, stakeholder engagement"
Artificial Intelligence,Trustworthy AI Engineer,"Python, Java, C#, Go","Adversarial testing, robustness evaluation, privacy-preserving methods, security auditing, CI/CD, monitoring, risk assessment, cross-functional collaboration, problem-solving"
Artificial Intelligence,AI Fairness & Bias Analyst,"Python, R, SQL, SAS","Bias detection, statistical parity, disparate impact analysis, data auditing, reporting, stakeholder communication, ethics frameworks, project management, attention to detail"
Artificial Intelligence,Human-Centered AI Designer,"Python, JavaScript, HTML,CSS, R","User research, UX/UI design, prototyping, usability testing, wireframing, human factors, empathy, communication, iterative design, collaboration"
Artificial Intelligence,AI Transparency Consultant,"Python, R, SQL, JavaScript","Regulatory knowledge, reporting, stakeholder engagement, communication, documentation, auditing, project management, ethical assessment, training facilitation, advisory skills"
Artificial Intelligence,Algorithm Accountability Auditor,"Python, R, SQL, Java, Julia","Audit planning, risk assessment, compliance, statistical analysis, bias detection, documentation, stakeholder communication, reporting, critical thinking, collaboration"
Artificial Intelligence,Responsible AI Strategist,"Python, SQL, R, JavaScript","Strategic planning, ethics frameworks, stakeholder engagement, policy development, cross-functional leadership, risk management, communication, project management, facilitation, advisory"
Artificial Intelligence,Ethical AI Policy Analyst,"Python, R, SQL, JavaScript","Policy analysis, legal research, regulatory compliance, ethics frameworks, technical writing, stakeholder engagement, critical thinking, communication, report drafting, data analysis"
Artificial Intelligence,Explainability Tools Developer,"Python, C++, Java, JavaScript","API design, software engineering, library development, testing, documentation, performance optimization, integration, version control, unit testing, collaboration"
Artificial Intelligence,XAI for Healthcare Systems Specialist,"Python, R, SQL, MATLAB","Healthcare domain knowledge, regulatory compliance, data privacy, interpretability, clinical validation, data analysis, stakeholder communication, ethics, collaboration, problem-solving"
Artificial Intelligence,Federated Learning Engineer,"Python, C++, Java, Go, Scala","Secure aggregation, differential privacy, communication protocols, distributed optimization, model partitioning, performance tuning, debugging, system integration, collaboration, problem-solving"
Artificial Intelligence,Distributed Machine Learning Specialist,"Python, Java, C++, Scala, Go","Distributed training, parallel computing, data partitioning, fault tolerance, scaling, performance optimization, cluster management, algorithm customization, debugging, collaboration"
Artificial Intelligence,Privacy-Preserving ML Researcher,"Python, R, C++, Julia","Differential privacy, homomorphic encryption, secure multi-party computation, cryptography, theoretical analysis, algorithm development, experiment design, literature review, critical thinking, collaboration"
Artificial Intelligence,FL Infrastructure Engineer,"Python, Go, Java, Bash, C++","Container orchestration, distributed systems, CI/CD, monitoring, scalability, automation, cloud platforms, networking, security, collaboration"
Artificial Intelligence,FL Research Scientist,"Python, C++, Julia, MATLAB, Scala","Algorithm design, theoretical analysis, literature review, experimental design, distributed optimization, secure aggregation, differential privacy, statistical modeling, scientific writing, collaboration"
Artificial Intelligence,Edge-based Federated ML Developer,"Python, C, C++, Java, Swift","On-device training, model quantization, resource optimization, latency reduction, communication protocols, hardware constraints, deployment, debugging, system design, collaboration"
Artificial Intelligence,Secure Aggregation Engineer,"Python, C++, Java, Go","Cryptography, secure multi-party computation, protocol design, distributed systems, encryption, differential privacy, performance optimization, debugging, collaboration"
Artificial Intelligence,FL Systems Architect,"Python, Java, Go, Bash, C++","System design, scalability, architecture planning, distributed systems, cloud computing, networking, security, performance tuning, cross-team leadership, documentation"
Artificial Intelligence,Differential Privacy in FL Specialist,"Python, R, C++","Differential privacy, noise calibration, privacy budgets, statistical analysis, cryptography, algorithm development, theoretical modeling, experiment design, collaboration"
Artificial Intelligence,FL for Mobile Devices Developer,"Python, Swift, Kotlin, Java, C++","On-device training, model quantization, performance optimization, mobile OS integration, energy efficiency, network optimization, deployment, debugging, collaboration"
Artificial Intelligence,FL Applications Engineer,"Python, Java, C#, JavaScript","Use-case analysis, application integration, model deployment, user requirements gathering, cross-functional communication, performance tuning, testing, debugging, project management"
Artificial Intelligence,Cross-device Federated AI Engineer,"Python, C++, Swift, Kotlin, Java","Cross-device communication, asynchronous training, fault tolerance, network optimization, security, resource management, scalability, debugging, collaboration"
Artificial Intelligence,Edge AI Engineer,"C, C++, Python, Rust, Java","model quantization, latency optimization, real-time inference, edge deployment, hardware-software integration, performance profiling, power management, networking, debugging, collaboration"
Artificial Intelligence,Embedded AI Developer,"C, C++, Python, Assembly, Rust","embedded programming, memory management, real-time systems, cross-compilation, sensor integration, model pruning, kernel optimization, debugging, teamwork, problem-solving"
Artificial Intelligence,AI-on-Chip Engineer,"VHDL, Verilog, SystemVerilog, C++, Python","hardware design, digital logic, RTL design, high-level synthesis, circuit optimization, verification, FPGA prototyping, resource allocation, power-area trade-offs, cross-disciplinary collaboration"
Artificial Intelligence,Edge ML Optimization Specialist,"Python, C++, C, Assembly, CUDA","model compression, pruning, quantization, kernel fusion, compiler optimization, profiling, hardware acceleration, performance tuning, benchmarking, collaboration"
Artificial Intelligence,Real-time Inference Systems Developer,"C, C++, Python, Rust, Go","real-time scheduling, low-latency optimization, multi-threading, IPC, hardware acceleration, performance monitoring, debugging, system integration, documentation, teamwork"
Artificial Intelligence,Edge AI Hardware Specialist,"VHDL, Verilog, SystemC, C, C++, Python","PCB design, FPGA development, ASIC design, DSP, hardware testing, power management, signal integrity, prototyping, collaboration, communication"
Artificial Intelligence,Edge Computer Vision Engineer,"C++, Python, C, Java","image processing, feature extraction, object detection, model deployment, optimization, hardware acceleration, real-time video processing, camera interfacing, debugging, teamwork"
Artificial Intelligence,IoT + AI Integration Engineer,"Python, C, C++, JavaScript, Rust","IoT protocol integration, sensor fusion, edge deployment, security, data processing, real-time analytics, network optimization, debugging, cross-disciplinary collaboration, project coordination"
Artificial Intelligence,Edge DL Engineer,"Python, C++, CUDA, C, Rust","Deep learning model design, quantization, layer fusion, compiler optimizations, GPU acceleration, profiling, latency reduction, hardware-aware tuning, collaboration, problem-solving"
Artificial Intelligence,Autonomous Edge Systems Developer,"C++, Python, Java, Rust, C","Autonomy algorithm integration, sensor fusion, SLAM, mapping, real-time control, deployment, testing, safety validation, debugging, teamwork"
Artificial Intelligence,TinyML Specialist,"C, C++, Python, Assembly, Rust","Model compression, quantization, energy-efficient inference, microcontroller programming, memory optimization, real-time constraints, sensor interfacing, debugging, collaboration, documentation"
Artificial Intelligence,Edge AI Product Architect,"Python, JavaScript, C++, Go, Java","System architecture, requirement analysis, scalability planning, tech stack selection, prototyping, vendor evaluation, performance benchmarking, cross-functional communication, product roadmap planning"
Artificial Intelligence,MLOps Engineer,"Python, Go, Bash, YAML, SQL","CI/CD, containerization, orchestration, automation, monitoring, version control, pipeline development, scripting, troubleshooting, collaboration"
Artificial Intelligence,AI/ML Infrastructure Engineer,"Python, Go, Java, Bash, Scala","Infrastructure design, cloud computing, container orchestration, automation, scaling, security, networking, scripting, monitoring, cross-team collaboration"
Artificial Intelligence,Machine Learning Deployment Engineer,"Python, Java, C#, JavaScript, Bash","Model packaging, containerization, orchestration, performance optimization, A/B testing, logging, deployment, troubleshooting, collaboration"
Artificial Intelligence,AI Model Monitoring Specialist,"Python, SQL, Bash, R, Go","Monitoring, anomaly detection, alerting, metrics design, logging, data analysis, troubleshooting, stakeholder communication, continuous improvement, automation"
Artificial Intelligence,Model Operations (ModelOps) Engineer,"Python, Java, Go, Bash, YAML","Lifecycle management, governance, pipeline automation, compliance, versioning, CI/CD, monitoring, collaboration, risk management"
Artificial Intelligence,ML CI/CD Pipeline Developer,"Python, Groovy, YAML, Bash, Java","Pipeline design, automation, testing, integration, containerization, version control, scripting, documentation, collaboration"
Artificial Intelligence,AI Reliability Engineer,"Python, Go, Java, Bash, SQL","Reliability engineering, SLO/SLI/SLA design, chaos engineering, capacity planning, monitoring, incident response, root cause analysis, automation, collaboration"
Artificial Intelligence,AIOps Platform Engineer,"Python, Go, Java, Scala, Bash","Observability, automation, incident management, anomaly detection, log analytics, infrastructure as code, container orchestration, CI/CD, troubleshooting, collaboration"
Artificial Intelligence,Data Versioning & Governance Engineer,"Python, SQL, Scala, Java, R","Data versioning, metadata management, data lineage, governance frameworks, quality assurance, schema design, documentation, compliance, collaboration, problem-solving"
Artificial Intelligence,AI/ML DevOps Specialist,"Python, Go, Bash, YAML, Java","CI/CD, containerization, orchestration, automation, model deployment, monitoring, version control, scripting, security best practices, teamwork"
Artificial Intelligence,Scalable ML Systems Architect,"Python, Java, Scala, Go, SQL","System architecture, scalability, distributed systems, microservices, data pipelines, performance optimization, cost optimization, capacity planning, stakeholder communication, leadership"
Artificial Intelligence,ML Workflow Automation Engineer,"Python, Bash, Groovy, YAML, Java","Workflow orchestration, automation, pipeline development, scheduling, monitoring, debugging, version control, CI/CD, documentation, collaboration"
Web Development,Frontend Developer,"JavaScript,TypeScript,HTML,CSS","Responsive design,UI/UX design,Accessibility,Cross-browser compatibility,Debugging,Performance optimization,CSS pre-processing,Component-based architecture,Communication,Collaboration"
Web Development,UI Developer,"JavaScript,TypeScript,HTML,CSS","UI/UX design,Accessibility,Responsive design,Prototyping,Wireframing,Collaboration,Communication,Attention to detail,Problem-solving,User research"
Web Development,JavaScript Developer,"JavaScript,TypeScript,HTML,CSS","Asynchronous programming,Event-driven architecture,Debugging,Performance optimization,API integration,Cross-browser compatibility,Problem-solving,Version control,Collaboration,Communication"
Web Development,React.js Developer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,State management,Hooks,Performance optimization,Debugging,API integration,Testing,Responsive design,Communication,Collaboration"
Web Development,Angular Developer,"TypeScript,JavaScript,HTML,CSS","Component-based architecture,Dependency injection,Reactive programming,Routing,Forms management,Testing,Performance optimization,Debugging,Collaboration,Communication"
Web Development,Vue.js Developer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,Reactive data binding,State management,Routing,Composition API,Testing,Debugging,Performance optimization,Collaboration,Communication"
Web Development,HTML/CSS Specialist,"HTML,CSS,JavaScript","Responsive design,Accessibility,Semantic markup,CSS architecture (BEM),Cross-browser compatibility,Flexbox/Grid,Performance optimization,Debugging,Attention to detail,Collaboration"
Web Development,Web UI Engineer,"JavaScript,TypeScript,HTML,CSS","Component-based architecture,UI/UX design,Responsive design,Accessibility,Performance optimization,Debugging,API integration,Collaboration,Communication"
Web Development,Mobile Web Interface Developer,"JavaScript,TypeScript,HTML,CSS","Responsive design,Touch optimization,Progressive Web Apps,Cross-platform compatibility,Performance optimization,Offline support,Debugging,UI/UX design,Accessibility,Communication"
Web Development,Frontend Performance Engineer,"JavaScript,TypeScript,HTML,CSS","Code splitting,Lazy loading,Caching strategies,Minification,Tree shaking,Profiling,Critical rendering path,Network optimization,Monitoring,Collaboration"
Web Development,CSS/Animation Developer,"CSS,Sass,Less,JavaScript","Keyframe animations,Transitions,Timing functions,SVG animations,Responsive design,Animation performance,CSS architecture (BEM),Prototyping,Creativity,Attention to detail"
Web Development,Frontend Accessibility Engineer,"HTML,CSS,JavaScript,ARIA","WCAG guidelines,Semantic HTML,Keyboard navigation,ARIA roles,Contrast testing,Assistive technologies,Accessibility auditing,User testing,Communication,Empathy"
Web Development,Backend Developer,"Java,Python,Go,Ruby,SQL","RESTful architecture,Database design,Scalability,Security,Concurrency,Testing,Debugging,CI/CD,Version control,Problem-solving"
Web Development,API Developer,"JavaScript,Python,Java,Go,Ruby","RESTful design,Authentication/Authorization,Rate limiting,Versioning,Documentation,Error handling,Testing,Monitoring,Security,Collaboration"
Web Development,Node.js Backend Engineer,"JavaScript,TypeScript,SQL,NoSQL","Event-driven architecture,Asynchronous programming,API development,Microservices,Error handling,Testing,Performance tuning,Logging,Security,Collaboration"
Web Development,Python/Django Backend Developer,"Python,SQL,JavaScript","MVC architecture,ORM,Authentication,REST framework,Migrations,Unit testing,Security,Caching,Debugging,Collaboration"
Web Development,Java Spring Developer,"Java,Kotlin,SQL","Dependency injection,ORM,Microservices,REST APIs,Security,Transaction management,Testing,Configuration,Performance tuning,Collaboration"
